track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity
Candy Shop,Candy Shop,50 Cent,1/1/05,USIR10500072,"3,732",22.2,"954,807,024","219,091","69,258,950",75
Tennessee Whiskey,Tennessee Whiskey,Chris Stapleton,4/28/15,USUM71418088,661,59.1,"954,073,526","162,233","36,021,163",77
Baby,R&B Collection 2011,Justin Bieber,1/1/10,USUM70919263,"1,337",40.7,"952,635,214","136,655","76,732,478",76
Sunday Best,Where the Light Is,Surfaces,8/28/18,TCAEA1802695,733,56.6,"952,626,904","151,446","27,674,084",16
The Lazy Song,Doo-Wops & Hooligans,Bruno Mars,10/5/10,USAT21001886,"1,496",37.9,"950,810,060","151,801","51,937,840",72
a lot,i am > i was,21 Savage,12/21/18,QZ45A1700126,872,51.7,"949,835,159","219,301","32,815,164",73
Him & I (with Halsey),Him & I,G-Eazy,11/30/17,USRC11701867,"2,384",29.2,"949,651,805","141,296","23,238,086",72
"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix","Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) [Remix Version]",Ty Dolla $ign,6/10/14,USAT21401391,"2,197",30.6,"949,312,501","152,498","28,278,237",74
Bound 2,Yeezus,Kanye West,1/1/13,USUM71307523,"4,239",20.5,"948,562,412","227,652","30,088,786",76
Snowman,Snowman,Sia,11/9/17,USAT21704212,"2,561",28,"947,770,190","123,852","25,500,657",69
Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),Charlie Puth,6/24/22,USAT22205563,"1,542",37.4,"947,763,871","59,942","47,877,896",72
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/23,UYB282301031,73,174.3,"946,941,510","100,130","74,836,321",74
Levitating,Future Nostalgia,Dua Lipa,3/27/20,GBAHT1901299,841,52.9,"946,842,175","145,601","34,376,048",73
Don't Wanna Know (feat. Kendrick Lamar),Don't Wanna Know,Maroon 5,10/11/16,USUM71609975,"2,055",31.8,"946,757,383","87,426","23,437,480",64
Slow Hands,Slow Hands,Niall Horan,5/4/17,USUG11700631,"2,989",25.5,"946,043,494","75,100","29,425,699",70
Feliz Cumpleaï¿½ï¿½os Fe,Feliz Cumpleaï¿½ï¿½os Fe,Feid,8/19/22,USUM72215366,483,70.1,"944,833,760","84,300","40,737,356",78
Higher Love,Higher Love,Kygo,6/28/19,USRC11901901,"1,875",33.6,"943,137,389","117,582","79,382,957",67
After Hours,After Hours,The Weeknd,2/19/20,USUG12000586,"1,424",39,"942,637,026","146,801","30,163,694",75
Nothing Breaks Like a Heart (feat. Miley Cyrus),Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,11/30/18,GBARL1801571,"1,852",33.7,"942,092,206","129,847","59,476,416",68
Replay,Now! 15,Iyaz,1/1/09,USRE10901161,"3,232",24.2,"941,989,512","202,958","78,141,768",74
In Your Eyes,After Hours,The Weeknd,3/20/20,USUG12000657,"2,054",31.8,"940,914,292","130,934","30,398,290",70
Angels Like You,Plastic Hearts,Miley Cyrus,11/27/20,USRC12003754,"1,697",35.5,"940,796,773","89,447","36,703,975",77
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Highlights (Deluxe),The Weeknd,2/5/21,USUG12303881,"1,269",42,"939,627,795","67,381","127,728,248",87
Love Lies (with Normani),Love Lies,Khalid,2/14/18,USRC11703646,"1,865",33.6,"937,339,123","96,612","21,547,967",67
Bad and Boujee (feat. Lil Uzi Vert),Bad and Boujee,Migos,10/28/16,QMCE31600796,"1,307",41.1,"936,450,891","173,279","29,410,941",66
Bad and Boujee (feat. Lil Uzi Vert),Bad and Boujee (feat. Lil Uzi Vert) [Radio Version],Migos,10/28/16,QMCE31700918,"3,688",22.3,"936,450,891","1,317","319,309",40
You Need To Calm Down,You Need To Calm Down,Taylor Swift,6/14/19,USUG11901470,"2,113",31.3,"935,098,853","63,937","44,356,528",75
ýýchame La Culpa,ýýchame La Culpa,Luis Fonsi,11/17/17,USUM71712163,607,61.4,"935,042,457","92,728","21,057,073",68
Blame,So Fresh ï¿½ï¿½ï¿½ The Hits Of Summer 2015 + Best O,Calvin Harris,1/1/14,GBARL1400567,"3,103",24.8,"934,248,345","132,560","39,090,664",73
Lose Control,Get To Know,MEDUZA,9/27/19,DEUM71905792,604,61.6,"932,911,098","180,309","53,903,360",66
Felices los 4,Felices los 4,Maluma,4/21/17,USSD11700134,814,53.7,"932,817,713","73,487","24,333,265",68
Shotgun,Staying at Tamara's,George Ezra,3/23/18,GBARL1701372,"1,980",32.4,"930,662,973","130,768","32,965,801",71
i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/19,USUM71900773,"2,390",29.2,"930,343,185","116,055","42,732,119",75
Wrecking Ball,538 Hitzone Best Of 2013,Miley Cyrus,1/1/13,USRC11301214,"1,316",41,"930,004,605","113,036","73,538,856",73
WITHOUT YOU,F*CK LOVE (SAVAGE),The Kid LAROI,11/6/20,USSM12006586,524,67,"927,908,363","192,182","29,317,288",69
Bandit (with YoungBoy Never Broke Again),Death Race For Love (Bonus Track Version),Juice WRLD,3/8/19,USUG11903492,"1,538",37.5,"925,747,848","178,435","28,731,824",67
LALA,LALA - Single,Myke Towers,3/22/23,USWL12300002,16,299.9,"925,655,569","103,605","79,944,921",79
Elastic Heart,Full Circle: The Live Anthology,Sia,11/20/11,USRC11400976,"3,064",25,"924,784,325","92,551","20,937,954",70
Memories (feat. Kid Cudi),VIVA Club Rotation (Vol. 46),Kid Cudi,12/5/08,FRZID0900480,"3,778",22,"923,932,404","261,469","53,941,189",63
RAPSTAR,RAPSTAR,Polo G,4/9/21,USSM12101640,615,61.2,"923,823,292","218,155","31,818,910",72
Walking On A Dream,Walking On A Dream,Empire Of The Sun,1/1/08,AUEI10800039,"3,476",23.2,"923,637,058","248,136","72,561,268",74
No Idea,No Idea,Don Toliver,5/29/19,USAT21903300,529,66.8,"922,761,340","176,497","26,466,335",74
Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/23,USUG12300802,157,121.9,"922,010,059","107,189","61,174,155",79
Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/23,USUG12300831,681,58.6,"922,010,059","5,520","576,014",50
Drowning (feat. Kodak Black),Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,3/10/17,USAT21700435,"3,722",22.2,"921,936,314","40,536","3,970,533",56
The One That Got Away,Teenage Dream,Katy Perry,1/1/10,USCA21001266,"4,172",20.7,"921,351,898","110,426","34,757,269",67
Habits (Stay High),Habits,Tove Lo,3/15/13,SE3NM1300101,"1,658",35.9,"919,756,735","144,657","32,634,535",69
Pray For Me,Pray For Me (with Kendrick Lamar),The Weeknd,2/2/18,USUM71800001,"2,491",28.5,"918,478,800","139,420","28,588,643",71
Space Cadet (feat. Gunna),NOT ALL HEROES WEAR CAPES,Metro Boomin,11/2/18,USUG11802484,"2,416",29,"917,916,061","204,396","35,887,216",75
Love Me Harder,So Fresh ï¿½ï¿½ï¿½ The Hits Of Summer 2015 + Best O,Ariana Grande,1/1/14,USUM71409728,"3,655",22.4,"917,284,463","80,957","31,639,571",73
Adan y Eva,Adan y Eva,Paulo Londra,11/5/18,USWL11801206,"1,383",39.8,"915,772,593","85,897","24,226,776",70
La Santa,YHLQMDLG,Bad Bunny,2/29/20,QM4TX2030933,"2,361",29.3,"915,557,792","96,498","35,375,775",75
Softcore,The Neighbourhood,The Neighbourhood,3/9/18,USSM11800523,"3,234",24.2,"915,401,494","155,329","39,721,831",80
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,10/5/21,USA2P2135437,"1,104",45.4,"912,709,169","94,302","33,979,642",67
ily (i love you baby) (feat. Emilee),ily (feat. Emilee),Surf Mesa,11/26/19,QZJRC1945204,517,67.9,"912,461,674","160,875","50,549,340",70
Otra vez (feat. J Balvin),Motivan2,Zion & Lennox,9/30/16,USWL11600244,"2,345",29.5,"912,446,776","48,788","18,231,793",67
Golden,Fine Line,Harry Styles,12/13/19,USSM11912586,"1,645",36,"912,294,568","117,541","36,158,508",70
MAMIII,MAMIII,Becky G,2/10/22,USRC12200425,337,83.1,"911,797,058","80,109","53,928,265",74
Bam Bam (feat. Ed Sheeran),#NAME?,Camila Cabello,10/29/21,USSM12200047,539,66.2,"907,821,800","106,835","71,070,491",68
Ballin' (with Roddy Ricch),Perfect Ten,Mustard,6/28/19,USUM71911808,502,68.7,"907,346,612","200,091","36,757,073",69
Wishing Well,Legends Never Die,Juice WRLD,7/10/20,USUG12001905,583,63.1,"901,486,450","157,381","25,837,638",71
Beautiful Things,Beautiful Things,Benson Boone,1/18/24,USWB12307016,7,407.2,"900,158,751","73,118","201,585,714",86
Break Free,Pop Party 13,Ariana Grande,1/1/14,USUM71409719,"2,610",27.6,"899,830,382","96,199","41,829,450",70
Glorious (feat. Skylar Grey),Glorious (feat. Skylar Grey),Macklemore,6/15/17,QZ8TY1700001,"2,878",26,"899,431,434","111,427","17,437,639",72
Fight Song,Fight Song,Rachel Platten,12/2/14,USSM11500753,"2,670",27.3,"897,794,289","92,326","47,254,001",69
Lost in the Fire (feat. The Weeknd),Lost in the Fire (feat. The Weeknd),Gesaffelstein,1/11/19,USQX91803314,"2,564",27.9,"895,496,661","158,437","56,718,950",75
Runaway (U & I),Runaway (U & I),Galantis,10/5/14,USAT21404265,"2,469",28.7,"895,051,532","155,100","42,988,196",72
Bodak Yellow,Bodak Yellow,Cardi B,6/16/17,USAT21701762,"1,932",32.9,"894,360,950","99,270","29,301,256",66
Si Estuviï¿½ï¿½semos Ju,X 100PRE,Bad Bunny,12/23/18,QM7281884729,"2,106",31.4,"893,876,704","86,788","30,501,893",75
"What Was I Made For? [From The Motion Picture 'Barbie'""]""","What Was I Made For? (From The Motion Picture 'Barbie'"")""",Billie Eilish,7/13/23,USUM72307484,69,177.6,"891,720,245","114,560","97,542,546",82
Something in the Orange,Something in the Orange,Zach Bryan,4/22/22,USWB12201213,478,70.4,"891,578,597","134,151","56,220,971",82
Sunroof,Sunroof,Nicky Youre,12/3/21,USQX92202129,334,83.8,"890,752,779","104,690","38,444,734",79
Criminal,Criminal,NATTI NATASHA,8/18/17,USB271700112,648,59.6,"889,098,343","84,086","32,287,923",69
Wild Ones (feat. Sia),Good Feeling EP,Flo Rida,1/1/11,USAT21104103,"2,983",25.5,"886,640,358","144,242","105,513,240",76
Hot N Cold,NOW 29,Katy Perry,1/1/08,USCA20802544,"2,998",25.4,"886,077,008","154,757","77,671,100",69
i'm so tired...,i'm so tired...,Lauv,1/24/19,GBKPL1933763,"4,260",20.4,"885,986,482","82,322","17,357,820",66
One More Night,Overexposed Track By Track,Maroon 5,1/1/12,USUM71203514,"1,989",32.3,"885,944,426","129,982","34,799,834",73
Martin & Gina,THE GOAT,Polo G,5/15/20,USQX92002595,516,68,"885,756,212","212,406","24,064,966",76
Low Life,EVOL,Future,2/12/16,USSM11600557,"1,897",33.3,"884,825,594","165,579","32,192,169",72
Runaway,Runaway,AURORA,2/7/15,GBUM71500527,"1,567",37,"884,816,583","204,318","32,928,246",70
"jealousy, jealousy",SOUR,Olivia Rodrigo,5/21/21,USUG12101248,"1,878",33.6,"884,616,492","101,479","24,049,783",77
Lean Wit Me,Lean Wit Me,Juice WRLD,5/22/18,USUG11800945,"1,001",47.9,"880,781,313","137,341","29,154,307",72
Sunroof,Sunroof,Nicky Youre,11/26/21,QM24S2107064,279,92.3,"879,708,559","44,652","23,104,189",12
Boss Bitch,Boss Bitch,Doja Cat,1/23/20,USAT21907355,"1,352",40.3,"878,349,171","126,275","47,587,177",70
Body Like A Back Road,Body Like A Back Road,Sam Hunt,2/1/17,USUM71700575,"1,520",37.7,"874,864,898","78,015","21,590,960",66
Rise,Rise,Jonas Blue,5/25/18,GBUM71802109,"2,592",27.7,"872,518,334","93,636","18,157,143",64
No Money,No Money,Galantis,4/1/16,USAT21600941,"3,194",24.4,"872,428,879","85,665","22,510,886",60
Classy 101,Classy 101,Feid,3/31/23,USUM72304895,195,109.1,"872,148,396","90,726","70,485,920",78
Dï¿½ï¿½jala Que Vuelva (feat. Manuel Tur,Dï¿½ï¿½jala Que Vuelva (feat. Manuel Tur,Piso 21,10/20/17,MXF151700546,"1,061",46.6,"871,780,891","56,085","22,005,461",68
El Perdï¿½,Full Circle: The Live Anthology,Nicky Jam,11/20/11,USSD11500005,"2,108",31.4,"869,024,663","91,687","30,002,977",69
Safaera,YHLQMDLG,Bad Bunny,2/29/20,QM4TX2030965,"1,331",40.7,"868,744,690","116,275","31,273,843",70
BICHOTA,BICHOTA,KAROL G,10/23/20,USUM72019324,385,77.8,"868,091,483","86,379","31,261,057",64
Jackie Chan,Jackie Chan,Tiï¿½ï¿,5/18/18,CYA111800123,"2,562",27.9,"867,318,774","122,200","28,477,959",66
Shut up My Moms Calling,Shut up My Moms Calling - Single,Hotel Ugly,2/10/20,TCAEQ2083509,"1,983",32.4,"864,865,822","155,446","25,122,611",82
Problem,The Edge (Mixed By G-Wizard & DJ Nino Brown),Ariana Grande,1/1/14,USUM71405403,"1,930",32.9,"863,631,428","84,796","36,693,869",70
Never Be the Same,Never Be the Same,Camila Cabello,12/17/17,USSM11710323,"2,997",25.4,"862,685,616","66,559","20,300,133",71
Cupid - Twin Ver.,The Beginning: Cupid - Single,FIFTY FIFTY,2/24/23,KSA012239181,229,102.3,"861,388,470","103,040","37,365,896",48
Moth To A Flame (with The Weeknd),The Highlights (Deluxe),Swedish House Mafia,2/5/21,USUG12105524,"1,056",46.8,"861,100,951","153,435","41,139,591",74
you should see me in a crown,you should see me in a crown,Billie Eilish,7/18/18,USUM71810049,"2,370",29.3,"860,596,912","103,375","35,817,894",71
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,5/25/23,USAT22305457,85,166.2,"860,026,452","74,769","139,913,794",80
Dance The Night,Barbie The Album,Dua Lipa,7/21/23,USAT22305730,"1,652",36,"860,026,452","19,743","10,536,844",67
Dilemma,Nellyville (Explicit Version),Nelly,6/25/02,USUR10200370,"2,573",27.9,"859,999,247","170,136","65,334,656",74
ME! (feat. Brendon Urie of Panic! At The Disco),ME!,Taylor Swift,4/26/19,USUG11901267,"3,588",22.7,"859,985,881","17,061","4,818,145",
Breakeven,Breakeven (Official 4K Video),The Script,4/25/24,GB1102400418,287,91.1,"858,979,483",1,14,
The Way I Are,Shock Value (International Version),Timbaland,1/1/07,USUM70722806,"4,495",19.6,"858,734,232","177,813","63,919,947",78
Pop Out (feat. Lil Tjay),Pop Out (feat. Lil TJay),Polo G,2/7/19,USQX91900309,472,70.6,"858,059,276","181,654","27,803,039",70
Dancin (feat. Luvli) - Krono Remix,Dancin (Krono Remix),Aaron Smith,11/7/14,QMLA71400326,"1,411",39.4,"856,908,437","163,911","32,032,973",71
Super Bass,Pink Friday,Nicki Minaj,1/1/10,USCM51000734,"4,469",19.7,"855,080,751","112,252","49,283,690",74
Rewrite The Stars (with James Arthur & Anne-Marie),Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,10/25/18,USAT21811554,"2,377",29.2,"853,574,945","46,385","17,500,223",73
love nwantiti (ah ah ah),CKay The First,CKay,8/30/19,QMEU31910213,256,96.9,"853,451,422","172,458","43,607,688",71
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2/3/23,GBAYE2300015,96,153.6,"851,085,705","129,047","50,996,176",70
I Won't Give Up,Chï¿½ï¿½rie Summer ,Jason Mraz,1/1/12,USEE11100768,"3,925",21.5,"850,863,163","91,617","43,046,356",62
QLONA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/23,USUG12305257,160,120.7,"850,810,162","56,104","79,334,561",82
Broccoli (feat. Lil Yachty),Broccoli (feat. Lil Yachty) - Single,DRAM,4/6/16,USUYG1098775,"1,947",32.7,"849,055,927","131,131","22,922,803",58
Hold On,Hold On,Chord Overstreet,2/3/17,USUM71615568,"1,725",35.1,"847,578,246","122,390","28,205,829",73
About Damn Time,About Damn Time,Lizzo,4/14/22,USAT22202139,172,115.6,"847,025,688","104,052","47,808,065",66
Se Preparï¿,Se Preparï¿,Ozuna,8/10/17,USXDR1700552,997,48.1,"846,909,112","81,897","37,257,314",73
About Damn Time,Special,Lizzo,7/15/22,USAT22203704,"3,881",21.7,"846,772,236","22,663","8,235,045",64
Broccoli,Broccoli - Single,ati2x06,1/17/24,ES64E2455101,626,64.9,"846,435,891",1,42,
Maniac,Maniac,Conan Gray,10/25/19,USUM71920712,"3,653",22.4,"845,222,205","109,624","33,327,204",71
willow,evermore,Taylor Swift,12/10/20,USUG12004699,"2,217",30.4,"844,790,027","67,136","50,350,718",72
Leave Before You Love Me (with Jonas Brothers),Summer 2021,Marshmello,4/28/21,USUG12102313,810,53.9,"844,630,935","94,185","54,080,564",74
Chill Bill,The RCA-List (Vol. 2),Rob $tone,1/1/16,USRC11601124,"2,649",27.4,"843,861,768","155,472","20,340,958",70
Are You Bored Yet? (feat. Clairo),Are You Bored Yet? (feat. Clairo),Wallows,2/1/19,USAT21812258,"3,186",24.4,"842,749,499","158,456","40,544,627",76
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,11/12/21,USUG12103690,"1,912",33.1,"842,558,786","55,074","40,675,939",74
DJ Got Us Fallin' In Love,Europa FM Presenta Europa Baila,USHER,1/1/10,USLF21000041,"3,402",23.5,"841,183,589","178,587","102,898,525",76
Lost Boy,Lost Boy,Ruth B.,8/21/15,USSM11506787,"3,207",24.3,"840,781,611","93,600","36,206,570",64
Someone To You,Someone to You,BANNERS,6/9/17,USUM71705215,"3,312",23.9,"840,041,803","147,478","46,983,313",70
I Knew You Were Trouble.,I Knew You Were Trouble.,Taylor Swift,1/1/12,USCJY1231039,"2,809",26.5,"839,642,356","110,606","35,486,997",72
Una Noche en Medellï¿½,Una Noche en Medellï¿½,Cris Mj,1/21/22,QM4TW2218961,288,90.7,"839,405,565","107,431","27,444,811",75
Never Gonna Give You Up (2022 - Remaster),Whenever You Need Somebody (Deluxe Edition - 2022 Remaster),Rick Astley,5/20/22,GB5KW2103369,"3,199",24.4,"839,345,554",295,"20,447",23
Yandel 150,Yandel 150,Yandel,12/20/22,QMFMF2215173,247,98.1,"837,576,264","102,545","38,825,844",70
Lost on You,Lost On You,LP,3/24/16,QMRSZ1501406,998,48.1,"837,042,727","127,522","22,902,207",70
Day 'N' Nite (nightmare),Day 'N' Nite,Kid Cudi,1/1/09,USUM70957500,"4,277",20.4,"836,986,096","185,976","32,031,700",64
Formula,Euphoria (Original Score from the HBO Series),Labrinth,10/4/19,USQX91902497,"4,034",21.2,"836,491,531","114,619","24,572,791",79
Everybody Talks,Everybody Talks,Neon Trees,12/19/11,USUM71119189,"4,359",20.1,"836,267,192","170,098","45,773,811",74
Magnolia,Playboi Carti,Playboi Carti,4/14/17,USUM71703095,"3,002",25.4,"834,795,353","187,620","29,767,336",73
One Call Away,One Call Away,Charlie Puth,8/21/15,USAT21502703,"1,604",36.6,"833,094,374","74,711","20,494,033",69
Neverita,Un Verano Sin Ti,Bad Bunny,5/6/22,QM6MZ2214882,"1,139",44.6,"831,868,563","93,211","21,780,286",73
You Right,You Right,Doja Cat,6/24/21,USRC12100544,713,57.4,"831,648,193","119,953","44,866,271",72
River (feat. Ed Sheeran),Revival,Eminem,12/15/17,USUM71712944,"3,691",22.3,"830,410,811","95,470","18,564,708",67
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),So Fresh The Hits of Summer 2011 + The Best Of 2010,Shakira,1/1/10,USSM11001353,921,50.4,"829,352,129","159,324","36,048,887",61
UN DIA (ONE DAY) (Feat. Tainy),UN DIA (ONE DAY) (Feat. Tainy),J Balvin,7/24/20,QZM5U2000001,"1,629",36.3,"828,608,384","93,376","34,702,149",64
Beautiful Crazy,Beautiful Crazy,Luke Combs,5/4/18,US6XF1700259,"1,511",37.8,"828,103,564","83,834","17,064,586",77
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,6/3/22,USUM72208023,179,112.5,"827,950,825","118,965","64,661,540",73
Beauty And A Beat,Believe,Justin Bieber,1/1/12,USUM71205367,"3,001",25.4,"827,079,737","123,017","55,637,959",74
double take,double take,Dhruv,5/24/19,GBMJG1911043,"1,737",35,"826,685,494","106,975","21,112,809",76
Heart Attack,Demi,Demi Lovato,1/1/13,USHR11334249,"3,134",24.6,"826,593,536","101,501","31,034,827",74
Million Reasons,Million Reasons,Lady Gaga,10/6/16,USUM71609736,"4,175",20.7,"825,465,124","71,034","28,288,082",69
comethru,comethru,Jeremy Zucker,9/7/18,USUM71813455,"2,405",29.1,"822,935,346","90,889","19,172,749",69
Loco Contigo (feat. J. Balvin & Tyga),"Loco Contigo (with J. Balvin, feat. Tyga)",DJ Snake,6/13/19,USUG11901580,"1,144",44.4,"822,696,809","141,261","26,970,098",68
BOP,KIRK,DaBaby,9/27/19,USUM71918972,"1,021",47.5,"820,923,123","158,363","34,079,735",68
Kill This Love,Kill This Love,BLACKPINK,4/4/19,KRA401900005,361,80.4,"820,840,650","63,934","18,843,601",67
Jumpman,What A Time To Be Alive,Drake,9/20/15,USCM51500300,"2,994",25.5,"820,380,309","115,960","29,602,345",64
Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber,10/16/20,USUM72019170,"1,431",38.9,"820,172,575","119,464","35,423,440",66
WHATS POPPIN,WHATS POPPIN,Jack Harlow,1/21/20,USAT22000162,854,52.6,"819,779,577","161,131","28,874,159",70
Fair Trade (with Travis Scott),Certified Lover Boy,Drake,9/3/21,USUG12104402,708,57.6,"819,136,167","220,374","42,648,915",75
"Sex, Drugs, Etc.",Chit Chat,Beach Weather,11/4/16,TCACS1642138,"3,731",22.2,"818,926,915","160,628","48,988,304",77
First Class,First Class,Jack Harlow,4/8/22,USAT22203024,123,138.6,"818,858,244","223,609","49,586,777",71
Vaina Loca,Vaina Loca,Ozuna,6/28/18,USXDR1800901,"1,963",32.5,"818,413,674","68,379","22,527,293",68
The Motto,The Motto,Tiï¿½ï¿,11/4/21,CYA112001070,540,66.2,"818,199,643","147,373","98,477,761",70
Pareja Del Aï¿½,Pareja Del Aï¿½,Sebastian Yatra,4/16/21,USUM72104664,779,54.9,"817,933,263","104,636","31,495,621",70
Nonsense,emails i can't send,Sabrina Carpenter,7/15/22,USUM72210708,"1,129",44.8,"817,286,460","55,620","61,610,668",83
Si Veo a Tu Mamï¿,YHLQMDLG,Bad Bunny,2/29/20,QM4TX2030842,"1,423",39.1,"817,199,682","92,013","18,868,123",70
Love Galore,Love Galore,SZA,4/27/17,USRC11700886,"4,313",20.3,"817,054,014","105,515","29,991,191",71
Worth It,Reflection (Japan Deluxe Edition),Fifth Harmony,1/1/14,USSM11406644,"1,517",37.7,"815,946,405","94,852","36,133,465",67
All About That Bass,Los Nï¿½ï¿½meros 1 De 40 (El Disco De Los ï¿½ï,Meghan Trainor,1/1/14,USSM11401317,573,63.6,"815,661,095","92,401","43,164,406",70
Swervin (feat. 6ix9ine),Hoodie SZN,A Boogie Wit da Hoodie,12/21/18,USAT21812918,"2,660",27.3,"815,243,082","140,617","18,381,330",66
Whistle,Pioneer The Album (Vol.13),Flo Rida,9/27/10,USAT21201745,"2,784",26.6,"814,272,136","180,832","45,770,125",72
Sail,Back From Earth,AWOLNATION,1/1/10,USP6L1000053,"1,523",37.6,"814,264,073","145,349","25,209,426",68
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Highlights (Deluxe),The Weeknd,2/5/21,USUG12303876,"1,142",44.5,"812,954,133","137,681","53,947,304",81
Popular,Popular [From The Idol Vol. 1 (Music from the HBO Original Series)],The Weeknd,6/2/23,USUG12303890,"1,682",35.6,"812,954,133","8,642","1,440,402",54
Rich Flex,Her Loss,Drake,11/4/22,USUG12208598,320,85.5,"812,274,757","185,579","57,165,405",73
Rich Flex,Her Loss,Drake,11/3/22,USUG12208614,"2,520",28.2,"811,888,874","5,471","1,026,240",46
Quï¿½ï¿½ Mï¿½ï¿,Quï¿½ï¿½ Mï¿½ï¿,J Balvin,5/28/21,QZM5U2100064,552,65.3,"811,810,737","117,049","31,186,381",67
2055,2055,Sleepy Hallow,4/14/21,USRC12100442,488,69.7,"811,700,245","195,603","31,185,690",77
Popular,Popular,The Weeknd,2/22/24,USUMV2302771,"1,459",38.4,"811,545,581",1,65,
Malibu,Malibu,Miley Cyrus,5/11/17,USRC11700814,"3,763",22.1,"810,044,838","87,422","33,951,824",68
This Is Me,This Is Me,Keala Settle,10/27/17,USAT21704622,"2,852",26.2,"809,894,358","80,591","19,776,253",66
Shower,Crave Vol. 9 (Mixed By DJ Havana Brown),Becky G,1/1/14,USRC11400866,"1,390",39.7,"809,840,469","110,573","53,838,139",73
boyfriend (with Social House),boyfriend,Ariana Grande,8/2/19,USUG11902591,"3,324",23.8,"809,537,829","72,598","26,362,809",71
679 (feat. Remy Boyz),679 (feat. Remy Boyz),Fetty Wap,6/29/15,QMCE31500250,"1,863",33.7,"808,010,338","130,977","25,603,956",71
When It Rains It Pours,This One's for You,Luke Combs,6/2/17,QZ4751600015,"2,258",30.1,"807,802,864","93,613","23,160,480",78
The Color Violet,Alone At Prom,Tory Lanez,12/10/21,QZTGW2100275,833,53.1,"806,918,358","152,298","19,863,721",79
QUE PRETENDES,OASIS,J Balvin,6/28/19,USUM71912318,"2,849",26.2,"806,817,589","85,661","29,532,086",71
Whiskey Glasses,The Way I Talk,Morgan Wallen,7/29/16,QZ22S1500059,"2,712",27,"806,728,296","86,002","17,665,355",75
Therefore I Am,Therefore I Am,Billie Eilish,11/12/20,USUM72021500,695,57.9,"805,133,547","132,298","34,341,587",67
Do It To It,Do It To It,ACRAZE,8/20/21,QZFPL2100100,324,85.2,"805,019,111","238,887","94,531,613",73
Escapism.,Escapism. / The Thrill Is Gone.,RAYE,10/12/22,QMDA62217995,190,110.1,"804,925,777","128,247","62,532,855",75
Train Wreck,Back from the Edge,James Arthur,10/28/16,DEE861600590,"4,464",19.7,"803,983,295","106,924","55,494,559",72
F**kin' Problems,F**kin' Problems,A$AP Rocky,10/24/12,USRC11201220,"3,138",24.6,"803,286,487","157,238","36,820,510",70
FAKE LOVE,Love Yourself ï¿½ï¿½ï¿½ 'A,BTS,8/24/18,QM6MZ1886138,"2,010",32.1,"800,203,170","9,924","2,885,625",57
Versace on the Floor,24K Magic,Bruno Mars,11/17/16,USAT21602949,"3,949",21.5,"797,648,369","64,011","17,977,153",72
CUFF IT,RENAISSANCE,Beyoncï¿,7/29/22,USSM12206232,213,104.9,"795,960,535","100,204","68,659,216",73
Prisoner (feat. Dua Lipa),Prisoner (feat. Dua Lipa),Miley Cyrus,11/20/20,USRC12003364,"2,101",31.5,"795,449,825","89,489","26,707,311",67
Hold Me While You Wait,Hold Me While You Wait,Lewis Capaldi,5/3/19,DEUM71900680,"2,790",26.6,"793,528,511","99,106","36,201,454",70
Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,3/5/21,USUG12101042,985,48.6,"793,287,638","225,513","37,094,631",71
Yummy,Yummy,Justin Bieber,1/3/20,USUM71923046,579,63.2,"792,379,282","96,177","23,338,709",62
THE SCOTTS,THE SCOTTS,THE SCOTTS,4/24/20,USSM12002217,"1,614",36.5,"789,962,731","176,635","30,767,602",68
Jealous,Jealous,Eyedress,12/6/19,GBMYF1900115,"1,615",36.5,"789,418,331","170,553","31,361,482",78
