track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity
Doctor (Work It Out) [feat. Miley Cyrus],Doctor (Work It Out) - Single,Pharrell Williams,3/1/24,USSM12400672,"1,435",38.9,"40,447,209","4,358","14,370,644",
Love 119,Love 119,RIIZE,1/5/24,KRA302400001,"3,928",21.5,"40,415,304","2,509","8,351,511",59
Chamkeela Angeelesi,"Chamkeela Angeelesi (From 'Dasara'"") (Telugu)""",Santhosh Narayanan,3/8/23,INH102303862,"3,417",23.5,"40,358,575","1,358","1,211,901",55
Oh No,Cold As Ice,Kreepa,12/13/19,USUYG1287925,473,70.6,"40,284,121","14,548","3,212,878",41
Bandook,Bandook,Nirvair Pannu,5/30/20,FR96X2024977,740,56.4,"40,178,056","5,825","638,204",54
Dime,Dime,El Malilla,4/15/24,USA2P2420093,"3,827",21.8,"40,072,883","1,248","57,818,152",75
Body Moving,Body Moving,Eliza Rose,11/17/23,GBARL2301617,"3,015",25.3,"40,047,588","9,525","44,892,824",
Cold Heart (Claptone Remix),Cold Heart (Claptone Remix),Elton John,10/8/21,GBUM72105701,"4,473",19.7,"39,941,762","16,015","4,618,819",52
Company,Company,Emiway Bantai,1/22/23,FR2X42304449,"2,144",31.1,"39,899,018","2,423","691,567",49
Drippy,Drippy,Sidhu Moose Wala,2/2/24,INU252412475,"2,537",28.1,"39,891,157","2,503","5,333,908",
"QUï¿½ï¿½TENME EL TELï¿½ï¿½FONO (feat. Yandel, Jay ",The Academy: Segunda Misiï¿½,The Academy: Segunda Misiï¿½,3/28/24,USWL12400695,"1,919",33,"39,876,490","5,502","29,909,107",70
Saiyaan Ji,Saiyaan Ji,Yo Yo Honey Singh,1/27/21,INS182100158,"3,942",21.5,"39,793,463","5,646","1,398,949",48
